"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"Code","1","554","3448630120448","329449472","311246848","44272","C:\Users\qather\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","220,390625","1.95.2","1.95.2","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"5092","Microsoft.Win32.SafeHandles.SafeProcessHandle","554","15800",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","44272","44272","311246848","311246848","722856","722856","769826816","769826816","774443008","774443008","1721708544","3450580447232","True","Normal","311246848","311246848","00:00:13.3125000","Code","65535","True","1","System.Diagnostics.ProcessStartInfo","14.04.2025 12:37:47",,"System.Diagnostics.ProcessThreadCollection","00:03:40.3906250","00:03:27.0781250","-228618240","3448630120448","False",,,,"329449472","329449472",,
"Discord","1","915","3422536306688","315363328","297005056","90640","C:\Users\qather\AppData\Local\Discord\app-1.0.9188\Discord.exe","Discord Inc.","61,109375","1.0.9188","1.0.9188","Discord","Discord","Process","4",,"False",,"960","Microsoft.Win32.SafeHandles.SafeProcessHandle","915","19524",".","0","","System.Diagnostics.ProcessModule (Discord.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","90640","90640","297005056","297005056","1085720","1085720","418930688","418930688","522969088","522969088","-429088768","3422659846144","True","Idle","297005056","297005056","00:00:36.2031250","Discord","65535","True","1","System.Diagnostics.ProcessStartInfo","14.04.2025 12:10:21",,"System.Diagnostics.ProcessThreadCollection","00:01:01.1093750","00:00:24.9062500","-552628224","3422536306688","False",,,,"315363328","315363328",,
"firefox","1","386","2206305198080","343158784","317976576","67448","C:\Program Files\Mozilla Firefox\firefox.exe","Mozilla Corporation","16,59375","137.0.1","137.0.1","Firefox","Firefox","Process","4",,"False",,"3624","Microsoft.Win32.SafeHandles.SafeProcessHandle","386","3064",".","0","","System.Diagnostics.ProcessModule (firefox.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","67448","67448","317976576","317976576","803840","803840","675237888","675237888","652570624","652570624","-1335848960","2236342112256","True","Idle","317976576","317976576","00:00:01.6718750","firefox","65535","True","1","System.Diagnostics.ProcessStartInfo","14.04.2025 12:43:44",,"System.Diagnostics.ProcessThreadCollection","00:00:16.5937500","00:00:14.9218750","-1307992064","2206305198080","False",,,,"343158784","343158784",,
"firefox","1","2855","2206942466048","415711232","426647552","180600","C:\Program Files\Mozilla Firefox\firefox.exe","Mozilla Corporation","404,4375","137.0.1","137.0.1","Firefox","Firefox","Process","8",,"False",,"1296","Microsoft.Win32.SafeHandles.SafeProcessHandle","2855","5596",".","67002","Cloud - Pascal - Fragen – Mozilla Firefox","System.Diagnostics.ProcessModule (firefox.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","180600","180600","426647552","426647552","1492688","1492688","641835008","641835008","635199488","635199488","-724848640","2228363177984","True","Normal","426647552","426647552","00:02:57.7656250","firefox","65535","True","1","System.Diagnostics.ProcessStartInfo","14.04.2025 12:10:26",,"System.Diagnostics.ProcessThreadCollection","00:06:44.4375000","00:03:46.6718750","-670724096","2206942466048","False",,,,"415711232","415711232",,
"firefox","1","366","2232456003584","300552192","481837056","88240","C:\Program Files\Mozilla Firefox\firefox.exe","Mozilla Corporation","143,953125","137.0.1","137.0.1","Firefox","Firefox","Process","8",,"False",,"6128","Microsoft.Win32.SafeHandles.SafeProcessHandle","366","9072",".","0","","System.Diagnostics.ProcessModule (firefox.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","88240","88240","481837056","481837056","837248","837248","1120206848","1120206848","958717952","958717952","-767750144","2245500145664","True","Normal","481837056","481837056","00:00:15.9062500","firefox","65535","True","1","System.Diagnostics.ProcessStartInfo","14.04.2025 12:10:29",,"System.Diagnostics.ProcessThreadCollection","00:02:23.9531250","00:02:08.0468750","-926990336","2232456003584","False",,,,"300552192","300552192",,
"firefox","1","352","2206358196224","296734720","412495872","75456","C:\Program Files\Mozilla Firefox\firefox.exe","Mozilla Corporation","12,640625","137.0.1","137.0.1","Firefox","Firefox","Process","4",,"False",,"1516","Microsoft.Win32.SafeHandles.SafeProcessHandle","352","11116",".","0","","System.Diagnostics.ProcessModule (firefox.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","75456","75456","412495872","412495872","678040","678040","607551488","607551488","586436608","586436608","-1327529984","2236350431232","True","Idle","412495872","412495872","00:00:02.2656250","firefox","65535","True","1","System.Diagnostics.ProcessStartInfo","14.04.2025 12:10:28",,"System.Diagnostics.ProcessThreadCollection","00:00:12.6406250","00:00:10.3750000","-1254993920","2206358196224","False",,,,"296734720","296734720",,
"firefox","1","376","2206611574784","672116736","645910528","106344","C:\Program Files\Mozilla Firefox\firefox.exe","Mozilla Corporation","75,84375","137.0.1","137.0.1","Firefox","Firefox","Process","4",,"False",,"4188","Microsoft.Win32.SafeHandles.SafeProcessHandle","376","17664",".","0","","System.Diagnostics.ProcessModule (firefox.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","106344","106344","645910528","645910528","804536","804536","958914560","958914560","987430912","987430912","-1133883392","2236544077824","True","Idle","645910528","645910528","00:00:05.9218750","firefox","65535","True","1","System.Diagnostics.ProcessStartInfo","14.04.2025 12:49:38",,"System.Diagnostics.ProcessThreadCollection","00:01:15.8437500","00:01:09.9218750","-1001615360","2206611574784","False",,,,"672116736","672116736",,
"firefox","1","372","2206467805184","375693312","512094208","89616","C:\Program Files\Mozilla Firefox\firefox.exe","Mozilla Corporation","32,109375","137.0.1","137.0.1","Firefox","Firefox","Process","4",,"False",,"2216","Microsoft.Win32.SafeHandles.SafeProcessHandle","372","17784",".","0","","System.Diagnostics.ProcessModule (firefox.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","89616","89616","512094208","512094208","719672","719672","702095360","702095360","693350400","693350400","-1093902336","2236584058880","True","Idle","512094208","512094208","00:00:02.7500000","firefox","65535","True","1","System.Diagnostics.ProcessStartInfo","14.04.2025 12:10:28",,"System.Diagnostics.ProcessThreadCollection","00:00:32.1093750","00:00:29.3593750","-1145384960","2206467805184","False",,,,"375693312","375693312",,
"firefox","1","350","2206203752448","254447616","286801920","57096","C:\Program Files\Mozilla Firefox\firefox.exe","Mozilla Corporation","10,875","137.0.1","137.0.1","Firefox","Firefox","Process","4",,"False",,"4752","Microsoft.Win32.SafeHandles.SafeProcessHandle","350","21444",".","0","","System.Diagnostics.ProcessModule (firefox.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","57096","57096","286801920","286801920","717896","717896","353206272","353206272","350572544","350572544","-1550241792","2236127719424","True","Idle","286801920","286801920","00:00:01.6562500","firefox","65535","True","1","System.Diagnostics.ProcessStartInfo","14.04.2025 12:10:28",,"System.Diagnostics.ProcessThreadCollection","00:00:10.8750000","00:00:09.2187500","-1409437696","2206203752448","False",,,,"254447616","254447616",,
"firefox","1","342","2206239563776","272199680","326553600","63760","C:\Program Files\Mozilla Firefox\firefox.exe","Mozilla Corporation","17,421875","137.0.1","137.0.1","Firefox","Firefox","Process","4",,"False",,"1288","Microsoft.Win32.SafeHandles.SafeProcessHandle","342","21736",".","0","","System.Diagnostics.ProcessModule (firefox.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","63760","63760","326553600","326553600","662752","662752","521367552","521367552","508542976","508542976","-1463275520","2236214685696","True","Idle","326553600","326553600","00:00:02.0468750","firefox","65535","True","1","System.Diagnostics.ProcessStartInfo","14.04.2025 12:10:28",,"System.Diagnostics.ProcessThreadCollection","00:00:17.4218750","00:00:15.3750000","-1373626368","2206239563776","False",,,,"272199680","272199680",,
"firefox","1","357","2206262644736","315527168","333885440","63760","C:\Program Files\Mozilla Firefox\firefox.exe","Mozilla Corporation","72,25","137.0.1","137.0.1","Firefox","Firefox","Process","4",,"False",,"4836","Microsoft.Win32.SafeHandles.SafeProcessHandle","357","21928",".","0","","System.Diagnostics.ProcessModule (firefox.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","63760","63760","333885440","333885440","734168","734168","390389760","390389760","388096000","388096000","-1448374272","2236229586944","True","Idle","333885440","333885440","00:00:04.7343750","firefox","65535","True","1","System.Diagnostics.ProcessStartInfo","14.04.2025 12:10:28",,"System.Diagnostics.ProcessThreadCollection","00:01:12.2500000","00:01:07.5156250","-1350545408","2206262644736","False",,,,"315527168","315527168",,
"firefox","1","355","2206290575360","312332288","360734720","66752","C:\Program Files\Mozilla Firefox\firefox.exe","Mozilla Corporation","31,140625","137.0.1","137.0.1","Firefox","Firefox","Process","8",,"False",,"5864","Microsoft.Win32.SafeHandles.SafeProcessHandle","355","22464",".","0","","System.Diagnostics.ProcessModule (firefox.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","66752","66752","360734720","360734720","737776","737776","401715200","401715200","411881472","411881472","-1372368896","2236305592320","True","Normal","360734720","360734720","00:00:02.6250000","firefox","65535","True","1","System.Diagnostics.ProcessStartInfo","14.04.2025 12:10:28",,"System.Diagnostics.ProcessThreadCollection","00:00:31.1406250","00:00:28.5156250","-1322614784","2206290575360","False",,,,"312332288","312332288",,
"Memory Compression","0","0","1217003520","1125306368","2629632","0",,,,,,,,"Process","8",,,,,,"0","3128",".","0","",,,,,"0","0","2629632","2629632","4224","4224","2674688","2674688","1234087936","1234087936","1329987584","1329987584",,,"2629632","2629632",,"Memory Compression",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"1217003520","1217003520","False",,,,"1125306368","1125306368",,
"MsMpEng","0","1031","2204363563008","378392576","528060416","248552",,,,,,,,"Process","8",,,,,,"1031","6940",".","0","",,,,,"248552","248552","528060416","528060416","777064","777064","1217257472","1217257472","1202167808","1202167808","1730138112","2205048360960",,,"528060416","528060416",,"MsMpEng",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"1045340160","2204363563008","False",,,,"378392576","378392576",,
"RiotClientServices","1","297","5208641536","311144448","422260736","28904","C:\Riot Games\Riot Client\RiotClientServices.exe","Riot Games, Inc.","11,046875","106.0.2.3020","106.0.2.3020","Riot Client","RiotClient","Process","8",,"False",,"884","Microsoft.Win32.SafeHandles.SafeProcessHandle","297","20736",".","0","","System.Diagnostics.ProcessModule (RiotClientServices.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","28904","28904","422260736","422260736","448640","448640","423829504","423829504","415129600","415129600","931487744","5226455040","True","Normal","422260736","422260736","00:00:01.5625000","RiotClientServices","65535","True","1","System.Diagnostics.ProcessStartInfo","14.04.2025 12:10:26",,"System.Diagnostics.ProcessThreadCollection","00:00:11.0468750","00:00:09.4843750","913674240","5208641536","False",,,,"311144448","311144448",,
"SearchApp","1","1881","2238998200320","262176768","218955776","121800","C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe","Microsoft Corporation","6,28125","10.0.19041.5678 (WinBuild.160101.0800)","10.0.19041.5678","Search application","Microsoft® Windows® Operating System","Process","8",,"False",,"5200","Microsoft.Win32.SafeHandles.SafeProcessHandle","1881","3376",".","0","","System.Diagnostics.ProcessModule (SearchApp.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","121800","121800","218955776","218955776","1312168","1312168","234434560","234434560","278929408","278929408","1344778240","2239022739456","True","Normal","218955776","218955776","00:00:02.0468750","SearchApp","65535","True","1","System.Diagnostics.ProcessStartInfo","14.04.2025 12:10:00",,"System.Diagnostics.ProcessThreadCollection","00:00:06.2812500","00:00:04.2343750","1320239104","2238998200320","False",,,,"262176768","262176768",,
